colname,old_coltype,new_coltype
id,numeric,character
no,numeric,numeric
visuospatial_executive,character,factor
naming,character,factor
memory1,character,factor
memory2,character,factor
attention_number,character,factor
attention_letter,character,factor
attention_substraction,character,factor
language_repeat,character,factor
language_mention,character,factor
abstraction,character,factor
delayed_recall,character,factor
orientation,character,factor
total,numeric,numeric
class,character,factor
