old_colname,new_colname
PSTV01,NA
PSTV15,NA
PNK02,NA
PNK03,NA
PNK04,NA
PNK05,NA
PNK06,NA
PNK07,NA
PNK08,NA
PNK09,NA
PNK10,NA
PNK11,NA
PNK12,NA
PNK13,NA
PNK14,NA
PNK15,NA
PNK16,NA
PNK17,NA
PNK18,NA
PSTV02,NA
