old_colname,new_colname
ID,id
Family_Socioeconomic_status,ses
Maternal_education_level,edu
Maternal_age,age
IVF,ivf
Preeclampsia,pe
Gestational_diabetes,gdm
CS,cs
Gravida,gravida
BBW,bbw
GA,ga
Male,sex
Multiple_gestation,multiple_gestation
AS1,as1
AS5,as2
Resuscitation_at_birth,resuscitation_at_birth
birthtime_scoring,birthtime_scoring
Antenatal_steroid,antenatal_steroid
Chorioamnionitis,chorioamnionitis
surfactant,surfactant
BBWZ,bbwz
BHCZ,bhcz
